52.37941, -3.11758, Llanfair Waterdine - St Mary
52.46825, -2.95499, Lydbury North - St Michael and All Angels
52.51327, -2.98032, Lydham - Holy Trinity
52.47908, -3.08378, Mainstone - St John the Baptist
52.50016, -2.89963, Mindtown - St John the Baptist
52.51747, -2.96971, More - St Peter
52.43636, -3.09987, Newcastle on Clun - St John the Evangelist
52.52966, -2.93889, Norbury - All Saints
52.56637, -2.88259, Ratlinghope - St Margaret
52.35692, -3.01441, Stowe - St Michael
52.52821, -2.90993, Wentnor - St Michael and All Angels
52.47567, -2.62630, Abdon - St Margaret
52.45363, -2.54229, Aston Botterell - St Michael
52.37436, -2.59936, Cleehill - St Peter
52.45557, -2.64234, Clee St Margaret - St Margaret
52.40456, -2.57385, Cleeton St Mary - St Mary
52.37937, -2.48010, Cleobury Mortimer - St Mary
52.47960, -2.55599, Cleobury North - St Peter and St Paul
52.36275, -2.56944, Coreley - St Peter
52.49897, -2.57817, Ditton Priors - St John the Baptist
52.38249, -2.56563, Doddington - St John the Baptist
52.42226, -2.53159, Farlow - St Giles
52.46672, -2.65301, Heath Chapel
52.36302, -2.60533, Hope Bagot - St John the Baptist
52.38565, -2.53416, Hopton Wafers - St Michael
52.42613, -2.42680, KInlet - St John the Baptist
52.37364, -2.63044, Knowbury - St Paul
52.44376, -2.56704, Loughton Chapel
52.35220, -2.53037, Milson - St George
52.34185, -2.58243, Nash - St John the Baptist
52.39273, -2.48008, Neen Savage - St Mary
52.34748, -2.50032, Neen Sollars - All Saints
52.48623, -2.53557, Neenton - All Saints
52.41534, -2.55843, Silvington - St Michael
52.43704, -2.63965, Stoke St Milborough - St Milburgh
52.44294, -2.48329, Stottesdon - St Mary
52.43640, -2.55761, Wheathill - Holy Trinity
52.35185, -2.62401, Whitton - St Mary
52.33071, -2.70705, Ashford Bowdler - St Andrew
52.33475, -2.69810, Ashford Carbonell - St Mary
52.39194, -2.63230, Bitterley - St Mary
52.32714, -2.56852, Boraston - no known dedication
52.38685, -2.76315, Bromfield - St Mary the Virgin
52.31186, -2.59650, Burford - St Mary
52.35558, -2.65680, Caynham - St Mary
52.33441, -2.62191, Greete - St James
52.44496, -2.83069, Halford - St Thomas
52.36288, -2.71691, Ludford - St Giles
52.37206, -2.71301, Ludlow - St John
52.36819, -2.71890, Ludlow - St Laurence
52.39210, -2.67725, Middleton Chapel
52.40769, -2.80133, Onibury - St Michael
52.33152, -2.74343, Batchcott Richard's Castle - All Saints
52.44290, -2.86527, Sibdon Carwood - St Michael
52.40494, -2.74291, Stanton Lacy - St Peter
52.43069, -2.83121, Stokesay - st John the Baptist
52.46568, -2.83682, Winstanstow - Holy Trinity
